DateTime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU,temperature_2m_mean
2006-12-16,1209.176,34.922,236.24376262626262,13.082828282828283,0.0,546.0,4926.0,63.75,9.333,5.667,2.167,0.167,2.9939165
2006-12-17,3390.46,226.006,240.0870277777778,9.999027777777778,2033.0,4187.0,13341.0,63.75,9.333,5.667,2.167,0.167,3.1772497
2006-12-18,2203.826,161.792,241.23169444444446,6.421666666666667,1063.0,2621.0,14018.0,63.75,9.333,5.667,2.167,0.167,1.8314166
2006-12-19,1666.194,150.942,241.9993125,4.926388888888889,839.0,7602.0,6197.0,63.75,9.333,5.667,2.167,0.167,1.196
2006-12-20,2225.748,160.998,242.30806249999998,6.467361111111111,0.0,2648.0,14063.0,63.75,9.333,5.667,2.167,0.167,3.1168334
2006-12-21,1716.624,144.166,241.04054937413073,5.033796940194716,1765.0,2623.0,10421.0,63.75,9.333,5.667,2.167,0.167,3.5397499
2006-12-22,2341.338,186.906,241.1845486111111,6.872916666666667,3151.0,350.0,11131.0,63.75,9.333,5.667,2.167,0.167,1.6543335
2006-12-23,4773.386,221.47,240.1360763888889,14.028055555555557,2669.0,425.0,14726.0,63.75,9.333,5.667,2.167,0.167,1.4251666
2006-12-24,2550.012,149.9,241.6874375,7.640416666666667,1703.0,5082.0,6891.0,63.75,9.333,5.667,2.167,0.167,1.2876667
2006-12-25,2743.12,240.28,243.39993055555558,7.951527777777779,6620.0,1962.0,5795.0,63.75,9.333,5.667,2.167,0.167,0.5689166
2006-12-26,3934.11,165.102,241.6254375,11.347916666666666,1086.0,2533.0,14979.0,63.75,9.333,5.667,2.167,0.167,0.21058334
2006-12-27,1528.76,178.902,243.76736111111111,4.5175,0.0,314.0,6976.0,63.75,9.333,5.667,2.167,0.167,-0.16233338
2006-12-28,2072.638,208.876,243.26833333333335,6.086250000000001,2207.0,4419.0,9176.0,63.75,9.333,5.667,2.167,0.167,1.1480833
2006-12-29,3174.392,196.394,240.87130555555555,9.271388888888888,1252.0,5162.0,11329.0,63.75,9.333,5.667,2.167,0.167,7.743916
2006-12-30,2789.302,311.928,240.54068845618914,8.292211404728791,3072.0,7891.0,12480.0,63.75,9.333,5.667,2.167,0.167,8.812666
2006-12-31,3494.196,150.852,239.8965763888889,10.199583333333333,0.0,347.0,6502.0,63.75,9.333,5.667,2.167,0.167,9.404334
